graph_index,n_vertices,n_edges,n_components,isolated_vertices,avg_degree,max_degree,density,is_bipartite,diameter,clique_number,avg_clustering,estimated_group_size,estimated_orbit_count,avg_hamming,min_hamming,max_hamming,hamming_1_count,hamming_gt1_count
174,32,6,26,24,0.375,2,0.012096774193548387,1,-1,2,0.0,8,3,1.8333333333333333,1,3,3,3
175,32,9,23,19,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,2.2222222222222223,1,3,1,8
176,32,7,25,22,0.4375,3,0.014112903225806451,1,-1,2,0.0,8,4,2.0,1,3,2,5
177,32,10,22,18,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,2.6,1,5,2,8
178,32,10,23,20,0.625,3,0.020161290322580645,0,-1,3,0.03125,8,4,2.2,1,4,3,7
179,32,8,24,21,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,2.25,1,3,1,7
180,32,10,22,18,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,2.1,1,3,4,6
181,32,8,24,21,0.5,3,0.016129032258064516,1,-1,2,0.0,8,4,2.875,2,4,0,8
182,32,9,23,19,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,2.111111111111111,1,3,3,6
183,32,8,25,20,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,2.375,1,5,2,6
184,32,9,23,16,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,3,2.0,1,5,4,5
185,32,10,22,19,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,1.3,1,2,7,3
186,32,10,22,18,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,2.3,1,4,2,8
187,32,9,23,19,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,2.3333333333333335,1,5,3,6
188,32,8,24,22,0.5,3,0.016129032258064516,1,-1,2,0.0,8,4,1.375,1,2,5,3
189,32,9,24,20,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,2.111111111111111,1,4,4,5
190,32,9,23,20,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,2.3333333333333335,1,4,2,7
191,32,10,22,18,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,2.7,1,5,2,8
192,32,9,23,20,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,2.2222222222222223,1,5,3,6
193,32,10,22,15,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,1.7,1,3,4,6
194,32,8,24,22,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,2.375,1,5,2,6
195,32,8,24,21,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,1.75,1,4,5,3
196,32,10,22,17,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,3.2,1,5,1,9
197,32,10,22,19,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,2.4,1,5,4,6
198,32,10,22,17,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,2.9,1,5,1,9
199,32,9,24,21,0.5625,2,0.018145161290322582,0,-1,3,0.09375,8,3,2.0,1,3,3,6
